"Year","Quarter","Month","HHS_Region","Pathogen","Number_of_isolates","Past_two_years_average"
"2,023","1","1","Region 1 - Boston","Campylobacter","26","2.5"
"2,023","1","2","Region 1 - Boston","Campylobacter","12","4.5"
"2,023","1","3","Region 1 - Boston","Campylobacter","14","7.5"
"2,023","2","4","Region 1 - Boston","Campylobacter","29","3.5"
"2,023","2","5","Region 1 - Boston","Campylobacter","22","5.5"
"2,023","2","6","Region 1 - Boston","Campylobacter","50","19.5"
"2,023","3","7","Region 1 - Boston","Campylobacter","59","17.5"
"2,023","3","8","Region 1 - Boston","Campylobacter","72","16.5"
"2,023","3","9","Region 1 - Boston","Campylobacter","36","13"
"2,023","4","10","Region 1 - Boston","Campylobacter","24","16"
"2,023","4","11","Region 1 - Boston","Campylobacter","31","8.5"
"2,023","4","12","Region 1 - Boston","Campylobacter","22","10.5"
"2,024","1","1","Region 1 - Boston","Campylobacter","17","15.5"
"2,024","1","2","Region 1 - Boston","Campylobacter","24","10.5"
"2,024","1","3","Region 1 - Boston","Campylobacter","16","14.5"
"2,024","2","4","Region 1 - Boston","Campylobacter","38","18"
"2,024","2","5","Region 1 - Boston","Campylobacter","24","16.5"
"2,024","2","6","Region 1 - Boston","Campylobacter","49","44.5"
"2,024","3","7","Region 1 - Boston","Campylobacter","61","47"
"2,024","3","8","Region 1 - Boston","Campylobacter","40","52.5"
"2,024","3","9","Region 1 - Boston","Campylobacter","39","31"
"2,024","4","10","Region 1 - Boston","Campylobacter","24","28"
"2,024","4","11","Region 1 - Boston","Campylobacter","21","24"
"2,024","4","12","Region 1 - Boston","Campylobacter","26","21.5"
"2,025","1","1","Region 1 - Boston","Campylobacter","20","21.5"
"2,025","1","2","Region 1 - Boston","Campylobacter","11","18"
"2,025","1","3","Region 1 - Boston","Campylobacter","23","15"
"2,025","2","4","Region 1 - Boston","Campylobacter","22","33.5"
"2,025","2","5","Region 1 - Boston","Campylobacter","45","23"
"2,023","1","1","Region 1 - Boston","STEC","16","3"
"2,023","1","2","Region 1 - Boston","STEC","12","6.5"
"2,023","1","3","Region 1 - Boston","STEC","14","4.5"
"2,023","2","4","Region 1 - Boston","STEC","19","8"
"2,023","2","5","Region 1 - Boston","STEC","22","13"
"2,023","2","6","Region 1 - Boston","STEC","20","13.5"
"2,023","3","7","Region 1 - Boston","STEC","38","10"
"2,023","3","8","Region 1 - Boston","STEC","33","8.5"
"2,023","3","9","Region 1 - Boston","STEC","14","9"
"2,023","4","10","Region 1 - Boston","STEC","21","8.5"
"2,023","4","11","Region 1 - Boston","STEC","7","11.5"
"2,023","4","12","Region 1 - Boston","STEC","10","5"
"2,024","1","1","Region 1 - Boston","STEC","10","11"
"2,024","1","2","Region 1 - Boston","STEC","17","12.5"
"2,024","1","3","Region 1 - Boston","STEC","17","11.5"
"2,024","2","4","Region 1 - Boston","STEC","18","17.5"
"2,024","2","5","Region 1 - Boston","STEC","18","24"
"2,024","2","6","Region 1 - Boston","STEC","28","23.5"
"2,024","3","7","Region 1 - Boston","STEC","33","29"
"2,024","3","8","Region 1 - Boston","STEC","24","25"
"2,024","3","9","Region 1 - Boston","STEC","18","16"
"2,024","4","10","Region 1 - Boston","STEC","25","19"
"2,024","4","11","Region 1 - Boston","STEC","16","15"
"2,024","4","12","Region 1 - Boston","STEC","21","10"
"2,025","1","1","Region 1 - Boston","STEC","15","13"
"2,025","1","2","Region 1 - Boston","STEC","9","14.5"
"2,025","1","3","Region 1 - Boston","STEC","13","15.5"
"2,025","2","4","Region 1 - Boston","STEC","23","18.5"
"2,025","2","5","Region 1 - Boston","STEC","17","20"
"2,023","1","1","Region 1 - Boston","Salmonella","107","42"
"2,023","1","2","Region 1 - Boston","Salmonella","104","37"
"2,023","1","3","Region 1 - Boston","Salmonella","84","49"
"2,023","2","4","Region 1 - Boston","Salmonella","147","62.5"
"2,023","2","5","Region 1 - Boston","Salmonella","270","83"
"2,023","2","6","Region 1 - Boston","Salmonella","235","88"
"2,023","3","7","Region 1 - Boston","Salmonella","261","159"
"2,023","3","8","Region 1 - Boston","Salmonella","275","150.5"
"2,023","3","9","Region 1 - Boston","Salmonella","223","122.5"
"2,023","4","10","Region 1 - Boston","Salmonella","196","80"
"2,023","4","11","Region 1 - Boston","Salmonella","139","67.5"
"2,023","4","12","Region 1 - Boston","Salmonella","121","48.5"
"2,024","1","1","Region 1 - Boston","Salmonella","127","95.5"
"2,024","1","2","Region 1 - Boston","Salmonella","119","89"
"2,024","1","3","Region 1 - Boston","Salmonella","111","91"
"2,024","2","4","Region 1 - Boston","Salmonella","139","136"
"2,024","2","5","Region 1 - Boston","Salmonella","173","218"
"2,024","2","6","Region 1 - Boston","Salmonella","197","205.5"
"2,024","3","8","Region 1 - Boston","Salmonella","265","288"
"2,024","3","9","Region 1 - Boston","Salmonella","238","234"
"2,024","4","10","Region 1 - Boston","Salmonella","188","178"
"2,024","4","11","Region 1 - Boston","Salmonella","148","137"
"2,024","4","12","Region 1 - Boston","Salmonella","111","109"
"2,025","1","1","Region 1 - Boston","Salmonella","94","117"
"2,025","1","3","Region 1 - Boston","Salmonella","143","97.5"
"2,025","2","4","Region 1 - Boston","Salmonella","129","143"
"2,023","1","1","Region 1 - Boston","Shigella","21","4.5"
"2,023","1","2","Region 1 - Boston","Shigella","19","8"
"2,023","1","3","Region 1 - Boston","Shigella","24","10.5"
"2,023","2","4","Region 1 - Boston","Shigella","34","8"
"2,023","2","5","Region 1 - Boston","Shigella","29","5"
"2,023","2","6","Region 1 - Boston","Shigella","33","7.5"
"2,023","3","7","Region 1 - Boston","Shigella","40","8.5"
"2,023","3","8","Region 1 - Boston","Shigella","30","13.5"
"2,023","3","9","Region 1 - Boston","Shigella","29","8"
"2,023","4","10","Region 1 - Boston","Shigella","19","20.5"
"2,023","4","11","Region 1 - Boston","Shigella","22","18"
"2,023","4","12","Region 1 - Boston","Shigella","16","12.5"
"2,024","1","1","Region 1 - Boston","Shigella","37","15"
"2,024","1","2","Region 1 - Boston","Shigella","39","17.5"
"2,024","1","3","Region 1 - Boston","Shigella","41","22.5"
"2,024","2","4","Region 1 - Boston","Shigella","29","25"
"2,024","2","5","Region 1 - Boston","Shigella","29","19.5"
"2,024","2","6","Region 1 - Boston","Shigella","30","24"
"2,024","3","7","Region 1 - Boston","Shigella","28","28.5"
"2,024","3","8","Region 1 - Boston","Shigella","24","28.5"
"2,024","3","9","Region 1 - Boston","Shigella","35","22.5"
"2,024","4","10","Region 1 - Boston","Shigella","36","30"
"2,024","4","11","Region 1 - Boston","Shigella","25","29"
"2,024","4","12","Region 1 - Boston","Shigella","24","20.5"
"2,025","1","1","Region 1 - Boston","Shigella","18","29"
"2,025","1","2","Region 1 - Boston","Shigella","27","29"
"2,025","1","3","Region 1 - Boston","Shigella","19","32.5"
"2,025","2","4","Region 1 - Boston","Shigella","26","31.5"
"2,025","2","5","Region 1 - Boston","Shigella","16","29"
"2,023","1","1","Region 1 - Boston","Vibrio","1","0"
"2,023","1","2","Region 1 - Boston","Vibrio","0","0.5"
"2,023","1","3","Region 1 - Boston","Vibrio","2","2.5"
"2,023","2","4","Region 1 - Boston","Vibrio","1","0.5"
"2,023","2","5","Region 1 - Boston","Vibrio","4","0"
"2,023","2","6","Region 1 - Boston","Vibrio","2","0.5"
"2,023","3","7","Region 1 - Boston","Vibrio","23","7"
