"Pathogen","table_id","Food_category","Year","Serotype","Burden","Trajectory","Year_range","No_of_illnesses","Hospitalization(s)","Burden_sort_order","Trajectory_sort_order","Master_sort_order"
"Salmonella","Beef_Newport_2011-2015","Beef","2,020","Newport","High","Increased","2011-2015","176",,"1","1","1"
"Salmonella","Beef_Newport_2016-2020","Beef","2,020","Newport","High","Increased","2016-2020","556",,"1","1","1"
"Salmonella","Beef_Typhimurium_2011-2015","Beef","2,020","Typhimurium","High","Stable","2011-2015","100",,"1","2","2"
"Salmonella","Beef_Typhimurium_2016-2020","Beef","2,020","Typhimurium","High","Stable","2016-2020","54",,"1","2","2"
"Salmonella","Beef_Dublin_2011-2015","Beef","2,020","Dublin","High","Increased","2011-2015","21",,"1","1","1"
"Salmonella","Beef_Dublin_2016-2020","Beef","2,020","Dublin","High","Increased","2016-2020","51",,"1","1","1"
"Salmonella","Beef_Heidelberg_2011-2015","Beef","2,020","Heidelberg","Moderate","Increased","2011-2015","0",,"2","1","4"
"Salmonella","Beef_Heidelberg_2016-2020","Beef","2,020","Heidelberg","Moderate","Increased","2016-2020","32",,"2","1","4"
"Salmonella","Beef_Oranienburg_2011-2015","Beef","2,020","Oranienburg","Low","Increased","2011-2015","0",,"3","1","7"
"Salmonella","Beef_Oranienburg_2016-2020","Beef","2,020","Oranienburg","Low","Increased","2016-2020","18",,"3","1","7"
"Salmonella","Beef_Uganda_2011-2015","Beef","2,020","Uganda","Low","Stable","2011-2015","25",,"3","2","8"
"Salmonella","Beef_Uganda_2016-2020","Beef","2,020","Uganda","Low","Stable","2016-2020","18",,"3","2","8"
"Salmonella","Beef_Braenderup_2011-2015","Beef","2,020","Braenderup","Low","Increased","2011-2015","0",,"3","1","7"
"Salmonella","Beef_Braenderup_2016-2020","Beef","2,020","Braenderup","Low","Increased","2016-2020","11",,"3","1","7"
"Salmonella","Beef_Kiambu_2011-2015","Beef","2,020","Kiambu","Low","Increased","2011-2015","0",,"3","1","7"
"Salmonella","Beef_Kiambu_2016-2020","Beef","2,020","Kiambu","Low","Increased","2016-2020","8",,"3","1","7"
"Salmonella","Beef_Enteritidis_2011-2015","Beef","2,020","Enteritidis","Low","Decreased","2011-2015","75",,"3","3","9"
"Salmonella","Beef_Enteritidis_2016-2020","Beef","2,020","Enteritidis","Low","Decreased","2016-2020","6",,"3","3","9"
"Salmonella","Beef_Infantis_2011-2015","Beef","2,020","Infantis","Low","Increased","2011-2015","0",,"3","1","7"
"Salmonella","Beef_Infantis_2016-2020","Beef","2,020","Infantis","Low","Increased","2016-2020","4",,"3","1","7"
"Salmonella","Beef_Muenchen_2011-2015","Beef","2,020","Muenchen","Low","Increased","2011-2015","0",,"3","1","7"
"Salmonella","Beef_Muenchen_2016-2020","Beef","2,020","Muenchen","Low","Increased","2016-2020","3",,"3","1","7"
"Salmonella","Beef_Javiana_2011-2015","Beef","2,020","Javiana","No outbreak illnesses","Decreased","2011-2015","7",,"4","3","10"
"Salmonella","Beef_Javiana_2016-2020","Beef","2,020","Javiana","No outbreak illnesses","Decreased","2016-2020","0",,"4","3","10"
