"table_id","Food_category","Year_first_ill","Serotype","No_of_illnesses","No_of_outbreaks","Pathogen","Year","Year_range","Running_total_by_year_range"
"Pork_Adelaide_2011-2015","Pork","2,011","Adelaide","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Adelaide_2011-2015","Pork","2,012","Adelaide","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Adelaide_2011-2015","Pork","2,013","Adelaide","14","1","Salmonella","2,020","2011-2015","14"
"Pork_Adelaide_2011-2015","Pork","2,014","Adelaide","0","0","Salmonella","2,020","2011-2015","14"
"Pork_Adelaide_2011-2015","Pork","2,015","Adelaide","0","0","Salmonella","2,020","2011-2015","14"
"Pork_Adelaide_2016-2020","Pork","2,016","Adelaide","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Adelaide_2016-2020","Pork","2,017","Adelaide","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Adelaide_2016-2020","Pork","2,018","Adelaide","48","2","Salmonella","2,020","2016-2020","48"
"Pork_Adelaide_2016-2020","Pork","2,019","Adelaide","0","0","Salmonella","2,020","2016-2020","48"
"Pork_Adelaide_2016-2020","Pork","2,020","Adelaide","0","0","Salmonella","2,020","2016-2020","48"
"Pork_Agona_2011-2015","Pork","2,011","Agona","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Agona_2011-2015","Pork","2,012","Agona","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Agona_2011-2015","Pork","2,013","Agona","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Agona_2011-2015","Pork","2,014","Agona","5","1","Salmonella","2,020","2011-2015","5"
"Pork_Agona_2011-2015","Pork","2,015","Agona","10","1","Salmonella","2,020","2011-2015","15"
"Pork_Agona_2016-2020","Pork","2,016","Agona","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Agona_2016-2020","Pork","2,017","Agona","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Agona_2016-2020","Pork","2,018","Agona","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Agona_2016-2020","Pork","2,019","Agona","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Agona_2016-2020","Pork","2,020","Agona","0","0","Salmonella","2,020","2016-2020","0"
"Chicken_Anatum_2011-2015","Chicken","2,011","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Anatum_2011-2015","Chicken","2,012","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Anatum_2011-2015","Chicken","2,013","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Anatum_2011-2015","Chicken","2,014","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Anatum_2011-2015","Chicken","2,015","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Anatum_2016-2020","Chicken","2,016","Anatum","0","0","Salmonella","2,020","2016-2020","0"
"Chicken_Anatum_2016-2020","Chicken","2,017","Anatum","4","1","Salmonella","2,020","2016-2020","4"
"Chicken_Anatum_2016-2020","Chicken","2,018","Anatum","0","0","Salmonella","2,020","2016-2020","4"
"Chicken_Anatum_2016-2020","Chicken","2,019","Anatum","0","0","Salmonella","2,020","2016-2020","4"
"Chicken_Anatum_2016-2020","Chicken","2,020","Anatum","0","0","Salmonella","2,020","2016-2020","4"
"Turkey_Anatum_2011-2015","Turkey","2,011","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Turkey_Anatum_2011-2015","Turkey","2,012","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Turkey_Anatum_2011-2015","Turkey","2,013","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Turkey_Anatum_2011-2015","Turkey","2,014","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Turkey_Anatum_2011-2015","Turkey","2,015","Anatum","0","0","Salmonella","2,020","2011-2015","0"
"Turkey_Anatum_2016-2020","Turkey","2,016","Anatum","0","0","Salmonella","2,020","2016-2020","0"
"Turkey_Anatum_2016-2020","Turkey","2,017","Anatum","0","0","Salmonella","2,020","2016-2020","0"
"Turkey_Anatum_2016-2020","Turkey","2,018","Anatum","0","0","Salmonella","2,020","2016-2020","0"
"Turkey_Anatum_2016-2020","Turkey","2,019","Anatum","8","1","Salmonella","2,020","2016-2020","8"
"Turkey_Anatum_2016-2020","Turkey","2,020","Anatum","0","0","Salmonella","2,020","2016-2020","8"
"Pork_Berta_2011-2015","Pork","2,011","Berta","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Berta_2011-2015","Pork","2,012","Berta","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Berta_2011-2015","Pork","2,013","Berta","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Berta_2011-2015","Pork","2,014","Berta","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Berta_2011-2015","Pork","2,015","Berta","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Berta_2016-2020","Pork","2,016","Berta","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Berta_2016-2020","Pork","2,017","Berta","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Berta_2016-2020","Pork","2,018","Berta","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Berta_2016-2020","Pork","2,019","Berta","30","1","Salmonella","2,020","2016-2020","30"
"Pork_Berta_2016-2020","Pork","2,020","Berta","0","0","Salmonella","2,020","2016-2020","30"
"Chicken_Blockley_2011-2015","Chicken","2,011","Blockley","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Blockley_2011-2015","Chicken","2,012","Blockley","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Blockley_2011-2015","Chicken","2,013","Blockley","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Blockley_2011-2015","Chicken","2,014","Blockley","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Blockley_2011-2015","Chicken","2,015","Blockley","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Blockley_2016-2020","Chicken","2,016","Blockley","0","0","Salmonella","2,020","2016-2020","0"
"Chicken_Blockley_2016-2020","Chicken","2,017","Blockley","0","0","Salmonella","2,020","2016-2020","0"
"Chicken_Blockley_2016-2020","Chicken","2,018","Blockley","51","1","Salmonella","2,020","2016-2020","51"
"Chicken_Blockley_2016-2020","Chicken","2,019","Blockley","95","1","Salmonella","2,020","2016-2020","146"
"Chicken_Blockley_2016-2020","Chicken","2,020","Blockley","0","0","Salmonella","2,020","2016-2020","146"
"Beef_Braenderup_2011-2015","Beef","2,011","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Beef_Braenderup_2011-2015","Beef","2,012","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Beef_Braenderup_2011-2015","Beef","2,013","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Beef_Braenderup_2011-2015","Beef","2,014","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Beef_Braenderup_2011-2015","Beef","2,015","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Beef_Braenderup_2016-2020","Beef","2,016","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Beef_Braenderup_2016-2020","Beef","2,017","Braenderup","11","2","Salmonella","2,020","2016-2020","11"
"Beef_Braenderup_2016-2020","Beef","2,018","Braenderup","0","0","Salmonella","2,020","2016-2020","11"
"Beef_Braenderup_2016-2020","Beef","2,019","Braenderup","0","0","Salmonella","2,020","2016-2020","11"
"Beef_Braenderup_2016-2020","Beef","2,020","Braenderup","0","0","Salmonella","2,020","2016-2020","11"
"Chicken_Braenderup_2011-2015","Chicken","2,011","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Braenderup_2011-2015","Chicken","2,012","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Braenderup_2011-2015","Chicken","2,013","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Braenderup_2011-2015","Chicken","2,014","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Braenderup_2011-2015","Chicken","2,015","Braenderup","10","1","Salmonella","2,020","2011-2015","10"
"Chicken_Braenderup_2016-2020","Chicken","2,016","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Chicken_Braenderup_2016-2020","Chicken","2,017","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Chicken_Braenderup_2016-2020","Chicken","2,018","Braenderup","70","1","Salmonella","2,020","2016-2020","70"
"Chicken_Braenderup_2016-2020","Chicken","2,019","Braenderup","0","0","Salmonella","2,020","2016-2020","70"
"Chicken_Braenderup_2016-2020","Chicken","2,020","Braenderup","0","0","Salmonella","2,020","2016-2020","70"
"Pork_Braenderup_2011-2015","Pork","2,011","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Braenderup_2011-2015","Pork","2,012","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Braenderup_2011-2015","Pork","2,013","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Pork_Braenderup_2011-2015","Pork","2,014","Braenderup","8","1","Salmonella","2,020","2011-2015","8"
"Pork_Braenderup_2011-2015","Pork","2,015","Braenderup","0","0","Salmonella","2,020","2011-2015","8"
"Pork_Braenderup_2016-2020","Pork","2,016","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Braenderup_2016-2020","Pork","2,017","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Braenderup_2016-2020","Pork","2,018","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Braenderup_2016-2020","Pork","2,019","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Pork_Braenderup_2016-2020","Pork","2,020","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Turkey_Braenderup_2011-2015","Turkey","2,011","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Turkey_Braenderup_2011-2015","Turkey","2,012","Braenderup","0","0","Salmonella","2,020","2011-2015","0"
"Turkey_Braenderup_2011-2015","Turkey","2,013","Braenderup","4","1","Salmonella","2,020","2011-2015","4"
"Turkey_Braenderup_2011-2015","Turkey","2,014","Braenderup","0","0","Salmonella","2,020","2011-2015","4"
"Turkey_Braenderup_2011-2015","Turkey","2,015","Braenderup","0","0","Salmonella","2,020","2011-2015","4"
"Turkey_Braenderup_2016-2020","Turkey","2,016","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Turkey_Braenderup_2016-2020","Turkey","2,017","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Turkey_Braenderup_2016-2020","Turkey","2,018","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Turkey_Braenderup_2016-2020","Turkey","2,019","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Turkey_Braenderup_2016-2020","Turkey","2,020","Braenderup","0","0","Salmonella","2,020","2016-2020","0"
"Chicken_Carmel_2011-2015","Chicken","2,011","Carmel","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Carmel_2011-2015","Chicken","2,012","Carmel","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Carmel_2011-2015","Chicken","2,013","Carmel","0","0","Salmonella","2,020","2011-2015","0"
"Chicken_Carmel_2011-2015","Chicken","2,014","Carmel","33","1","Salmonella","2,020","2011-2015","33"
"Chicken_Carmel_2011-2015","Chicken","2,015","Carmel","0","0","Salmonella","2,020","2011-2015","33"
"Chicken_Carmel_2016-2020","Chicken","2,016","Carmel","0","0","Salmonella","2,020","2016-2020","0"
