"Year","Month","State","Primary Mode","Etiology","Serotype or Genotype","Etiology Status","Setting","Illnesses","Hospitalizations","Info On Hospitalizations","Deaths","Info On Deaths","Food Vehicle","Food Contaminated Ingredient","IFSAC Category","Water Exposure","Water Type","Animal Type"
"1971","2","California","Water","Copper",,"Confirmed","Restaurant","2",,,"0",,,,,"Drinking water","Community",
"1971","6","Arkansas","Water","Hepatitis A",,"Confirmed","Store","98",,,"0",,,,,"Drinking water","Other",
"1971","6","Missouri","Water","Unknown",,"Suspected","Subdivision/Neighborhood","2",,,"0",,,,,"Drinking water","Community",
"1971","6","Alabama","Water","Selenium",,"Confirmed","Unknown","3",,,"0",,,,,"Drinking water","Individual/Private",
"1971","6","Vermont","Water","Unknown",,"Suspected","Community/municipality","3",,,"0",,,,,"Drinking water","Community",
"1971","6","Oregon","Water","Unknown",,"Suspected","Restaurant","200",,,"0",,,,,"Drinking water","Other",
"1971","7","New Jersey","Water","Hepatitis A",,"Confirmed","Camp/cabin","22",,,"0",,,,,"Drinking water","Other",
"1971","7","Mississippi","Water","Shigella sonnei",,"Confirmed","Camp/cabin","187",,,"0",,,,,"Drinking water","Community",
"1971","7","Kentucky","Water","Unknown",,"Suspected","Park - State Park","68",,,"0",,,,,"Drinking water","Other",
"1971","7","California","Water","Unknown",,"Suspected","Community/municipality","3,500",,,"0",,,,,"Drinking water","Community",
"1971","8","New Jersey","Water","Shigella sonnei",,"Confirmed","Camp/cabin","67",,,"0",,,,,"Drinking water","Other",
"1971","8","Oklahoma","Water","Hepatitis A",,"Confirmed","Unknown","6",,,"0",,,,,"Drinking water","Individual/Private",
"1971","8","New Mexico","Water","Unknown",,"Suspected","Other","10",,,"0",,,,,"Other/Environmental water",,
"1971","9","North Carolina","Water","Hepatitis A",,"Confirmed","Private home/residence","2",,,"0",,,,,"Drinking water","Individual/Private",
"1971","9","North Carolina","Water","Unknown",,"Suspected","Mobile home/trailer park","38",,,"1",,,,,"Drinking water","Community",
"1971","11","Oklahoma","Water","Hepatitis A",,"Confirmed","Community/municipality","50",,,"0",,,,,"Drinking water","Community",
"1971","11","New York","Water","Unknown",,"Suspected","Restaurant","750",,,"0",,,,,"Drinking water","Other",
"1971","11","Alaska","Water","Shigella sonnei",,"Confirmed","Mobile home/trailer park","89",,,"0",,,,,"Drinking water","Community",
"1971","11","Texas","Water","Hepatitis A",,"Confirmed","Farm/dairy/agricultural setting","3",,,"0",,,,,"Drinking water","Individual/Private",
"1971","12","California","Water","Unknown",,"Suspected","Hotel/motel","84",,,"0",,,,,"Drinking water","Other",
"1972","3","New York","Water","Unknown",,"Suspected","Restaurant","21",,,"0",,,,,"Drinking water","Other",
"1972","3","Alaska","Water","Unknown",,"Suspected","Community/municipality","400",,,"0",,,,,"Drinking water","Community",
"1972","4","Indiana","Water","Shigella sonnei",,"Confirmed","Park - Other/Unspecified","2",,,"0",,,,,"Drinking water","Other",
"1972","4","Colorado","Water","Unknown",,"Suspected","Resort","25",,,"0",,,,,"Drinking water","Other",
"1972","4","Colorado","Water","Unknown",,"Suspected","Camp/cabin","142",,,"0",,,,,"Drinking water","Other",
"1972","5","Oregon","Water","Unknown",,"Suspected","Resort","37",,,"0",,,,,"Drinking water","Other",
"1972","5","Ohio","Water","Hepatitis A",,"Confirmed","Mobile home/trailer park","9",,,"0",,,,,"Drinking water","Community",
"1972","5","Minnesota","Water","Arsenic",,"Confirmed","Office/indoor workplace","11",,,"0",,,,,"Drinking water","Other",
"1972","5","Illinois","Water","Unknown",,"Suspected","Park - State Park","90",,,"0",,,,,"Drinking water","Other",
"1972","5","Florida","Water","Unknown",,"Suspected","Park - State Park","40",,,"0",,,,,"Drinking water","Other",
"1972","5","Colorado","Water","Giardia duodenalis",,"Confirmed","Camp/cabin","28",,,"0",,,,,"Drinking water","Other",
"1972","5","Colorado","Water","Giardia duodenalis",,"Confirmed","Hotel/motel","24",,,"0",,,,,"Drinking water","Other",
"1972","5","California","Water","Unknown",,"Suspected","Resort","26",,,"0",,,,,"Drinking water","Other",
"1972","6","Pennsylvania","Water","Fluoride",,"Confirmed","School/college/university","150",,,"0",,,,,"Drinking water","Other",
"1972","6","Washington","Water","Salmonella enterica","Typhi","Confirmed","Private home/residence","5",,,"0",,,,,"Drinking water","Individual/Private",
"1972","6","Maryland","Water","Unknown",,"Suspected","Camp/cabin","88",,,"0",,,,,"Drinking water","Other",
"1972","6","Massachusetts","Water","Unknown",,"Suspected","Unknown","3",,,"0",,,,,"Drinking water","Community",
"1972","7","Ohio","Water","Hepatitis A",,"Confirmed","Unknown","12",,,"0",,,,,"Drinking water","Community",
"1972","7","Pennsylvania","Water","Hepatitis A",,"Confirmed","Camp/cabin","5",,,"0",,,,,"Drinking water","Other",
"1972","8","Alabama","Water","Hepatitis A",,"Confirmed","Community/municipality","9",,,"0",,,,,"Drinking water","Community",
"1972","8","North Carolina","Water","Unknown",,"Suspected","Camp/cabin","9",,,"0",,,,,"Drinking water","Other",
"1972","9","Tennessee","Water","Unknown",,"Suspected","School/college/university","19",,,"0",,,,,"Drinking water","Community",
"1972","9","Washington","Water","Salmonella enterica","Newport","Confirmed","Outdoor Area","3",,,"0",,,,,"Other/Environmental water",,
"1972","9","Utah","Water","Giardia duodenalis",,"Confirmed","Camp/cabin","60",,,"0",,,,,"Drinking water","Other",
"1972","9","Hawaii","Water","Shigella sonnei",,"Confirmed","Camp/cabin","61",,,"0",,,,,"Drinking water","Other",
"1972","10","Alabama","Water","Hepatitis A",,"Confirmed","School/college/university","50",,,"0",,,,,"Drinking water","Other",
